State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Kandhai purwa Village : Soharia,308,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Khargi Purwa Village : Soharia,330,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Kewra Village : Keora,326,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Komal Purwa Village : Sonarakhi,343,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Kunha Purwa Village : Shukulauporwa,355,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Lachhman Bangla Village : Bagasti,361,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Lilai Purwa Village : Angaraura,368,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Kuti Village : Chhatauni,358,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Lochan Purwa Village : Kanarkhi,369,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Lalbachan Purwa Village : Kanarkhi,364,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Lunian Purwa Village : Rajapur Israuli,391,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Lodhan Purwa Village : Afsarya Husainpur,372,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Madho Purwa Village : Terwamanikapur,395,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Mahapurushan Village : Bariyarpur,400,KeyError,0
